SITE,WEEK,FLOW_PLANT_CAT,SPECIES,EGG_TOT,LARV_TOT,HERB_TOT,PRED_TOT,ANT_TOT,MYZO_TOT,NERII_TOT,APH_ASC_TOT,APHID_TOT
1,5,2,1,0,0,0.6,0.2,0,0,0,0,0
1,5,2,2,0.8,0,1.2,0.2,0,7.8,0,0,7.8
1,5,2,3,0,0.2,0,0.2,0,0,0,0,0
2,5,3,1,0.2,0,0,0.8,0.8,0,0,0,0
2,5,3,2,0,0,2.2,1.6,3.6,10.4,0,0,10.4
2,5,3,3,0,0,0.2,0,0,0,0,0,0
3,5,1,1,0.8,0.2,0.2,0.8,0.2,0,0,0,0
3,5,1,2,1.8,0.2,1,2.4,1.6,7.6,0,0,7.6
3,5,1,3,0,0,0.2,0,0,0,0,0,0
4,5,1,1,0.5,0,0,0.5,0,0,0,0,0
4,5,1,2,0.2,0,1,0.6,0,3.6,1.4,0,5
4,5,1,3,0,0,1,0.4,0.4,0,0,0,0
5,5,1,1,0,0,0,0,0,0,0,0,0
5,5,1,2,0.6,0,2.8,1.2,0.4,10.4,0,0.6,11
5,5,1,3,0,0.4,0,0.8,0.6,0,0,0,0
6,5,3,1,0.2,0,3.6,1.8,0.2,4.8,0,0,4.8
6,5,3,2,0.2,0,0.4,4.6,3,1119,0,0,1119
6,5,3,3,0,0,0,0.2,0,0,0,0,0
7,5,1,1,2.6,0,2.4,0.2,0,0,0,0,0
7,5,1,2,1.4,1.6,0.8,0,0,4.6,0,0,4.6
7,5,1,3,1,0,1,2,0,0,0,0,0
8,5,1,1,0.8,0.2,0,0.6,0,0,0,0.2,0.2
8,5,1,2,0.6,0.6,0.2,5,0,5.6,0,0,5.6
8,5,1,3,0,0,0.2,0.2,0,0,0,0,0
9,5,2,1,0,0,3.8,0.8,0,0,0,0,0
9,5,2,2,0,0,1.2,1,0.4,4,0,0,4
9,5,2,3,0,0,0,0,0,0,0,0,0
10,5,1,1,1.4,0.4,0.6,1.2,0,72.4,0,0,72.4
10,5,1,2,0,0,0.8,0,0,0,0,0,0
1,6,2,1,0.8,0,10.4,1,0,0,0,0,0
1,6,2,2,0,0,0.2,0.4,0,2.8,0,0,2.8
1,6,2,3,0.2,0,3.6,0,0,0,0,0,0
2,6,3,1,0,0.2,2,0,0,0,0,0,0
2,6,3,2,0,0,1,0.8,2.4,16.6,0,0,16.6
2,6,3,3,0,0,0.2,0,0,0,0,0,0
3,6,1,1,3.2,0.4,0.4,1.2,0,0,0,0,0
3,6,1,2,1.2,0,1,1.4,0,0,0,0,0
3,6,1,3,0,0,0,0,0,0,0,0,0
4,6,1,1,7.5,0.5,2,0.5,0.5,0,1,0,1
4,6,1,2,3.4,0,0.2,0.8,0.2,10,1.6,0,11.6
4,6,1,3,0.2,0,0.2,0.4,0,0,3,0,3
5,6,1,1,0,0,1,0,0,0,0,0,0
