,INC,SYR,TUB
Nymphalidae,90,146,34
FORMICIDAE,105,1269,163
Aphididae,74969,128781,3309
Lygaeidae,257,219,88
Miridae,8,18,6
CICADELLIDAE,84,79,22
MEMBRACIDAE,1,2,0
CERCOPOIDEA,1,1,0
FULGOROMORPHA,1,1,0
Anthocoridae,28,29,9
REDUVIIDAE,3,10,2
COREIDAE,1,0,0
THYREOCORIDAE,6,3,2
ALYDIDAE,0,1,0
NABIDAE,0,2,0
Coccinellidae,36,130,3
Cerambycidae,36,97,0
CANTHARIDAE,10,8,0
LAMPYRIDAE,5,30,2
Chrysomelidae,14,24,2
Scarabaeidae,1,10,0
CURCULIONOIDEA,3,5,3
MORDELLIDAE,2,2,0
Cucurbitaceae,0,2,0
SM_PARA,56,133,8
LG_PARA,2,7,1
VESPIDAE,7,13,0
Apidae,20,12,5
Megachilidae,1,2,0
ANDRENIDAE ,12,8,4
HALICTIDAE,0,0,1
CRABRONIDAE,0,4,0
DOLICHOPODIDAE,10,67,1
Syrphidae,9,21,5
CALLIPHORIDAE,0,1,0
ACRIDIDAE,0,1,1
GRYLLIDAE,5,15,4
TETTIGONIIDAE,0,0,2
CHRYSOPIDAE,11,23,13
PTEROPHORIDAE,0,1,0
Erebidae,162,209,3
TORTRICIDAE,2,3,2
Sesiidae,0,1,0
Geometridae,2,8,2
DERMAPTERA,1,56,1
THYSANOPTERA,22,66,14
MANTIDAE,2,0,1
THOMISIDAE,21,25,9
SALTICIDAE,13,20,5
LINYPHIIDAE,26,70,40
ARANEIDAE,10,23,5
LYCOSIDAE,0,1,0
OXYOPIDAE,1,0,0
OPILIONES,5,6,7
TROMBIDIIDAE,7,10,5
TETRANYCHIDAE,1,9,2
Tetranychidae,363,116,109
