species,treatment,area
tetramorium,control,100.705
tetramorium,control,31.843
tetramorium,control,68.829
tetramorium,control,39.385
tetramorium,control,49.46
tetramorium,control,112.708
tetramorium,control,70.325
tetramorium,control,42.824
tetramorium,control,59.625
tetramorium,control,96.67
tetramorium,control,6.44
tetramorium,control,3.352
tetramorium,control,65.311
tetramorium,control,94.537
tetramorium,control,50.298
tetramorium,control,11.218
tetramorium,control,30.967
tetramorium,control,36.03
tetramorium,control,53.923
tetramorium,control,44.268
tetramorium,control,74.45
tetramorium,control,0
tetramorium,control,0
tetramorium,control,0
tetramorium,predator,9.136
tetramorium,predator,86.597
tetramorium,predator,75.023
tetramorium,predator,51.985
tetramorium,predator,24.837
tetramorium,predator,73.556
tetramorium,predator,47.672
tetramorium,predator,79.101
tetramorium,predator,48.347
tetramorium,predator,55.636
tetramorium,predator,94.336
tetramorium,predator,12.985
tetramorium,predator,67.424
tetramorium,predator,39.172
tetramorium,predator,65.742
tetramorium,predator,58.09
tetramorium,predator,80.034
tetramorium,predator,45.098
tetramorium,predator,117.464
tetramorium,predator,59.433
tetramorium,predator,105.446
tetramorium,predator,0
tetramorium,predator,0.007
lasius,control,36.969
lasius,control,43.094
lasius,control,38.143
lasius,control,25.795
lasius,control,27.365
lasius,control,0.931
lasius,control,19.28
lasius,control,21.929
lasius,control,29.933
lasius,control,2.692
lasius,control,26.671
lasius,control,114.619
lasius,control,88.052
lasius,control,120.087
lasius,control,79.885
lasius,control,14.606
lasius,control,37.83
lasius,control,17.979
lasius,control,149.929
lasius,control,43.529
lasius,control,25.773
lasius,control,30.123
lasius,predator,61.354
lasius,predator,49.712
lasius,predator,24.283
lasius,predator,67.847
lasius,predator,43.263
lasius,predator,0
lasius,predator,57.966
lasius,predator,58.127
lasius,predator,86.202
lasius,predator,104.259
lasius,predator,31.145
lasius,predator,88.593
lasius,predator,89.07
lasius,predator,71.478
lasius,predator,70.614
lasius,predator,68.682
lasius,predator,158.564
lasius,predator,48.864
lasius,predator,24.828
lasius,predator,77.244
