WEEK,LOCATION,SPECIES,PLANT_HEIGHT,PHENOLOGY,EGG_STATE
1,AB,INC,114,FLOW_DEV,N
1,AB,INC,105,FLOW_DEV,N
1,AB,INC,130,FLOW_DEV,N
1,AB,INC,109,VEG,N
1,AB,INC,126,VEG,N
1,AB,SYR,111,FLOW_DEV,N
1,AB,SYR,96,FLOW_DEV,N
1,AB,SYR,133,FLOW_DEV,N
1,AB,SYR,153,FLOWERING ,N
1,AB,SYR,140,FLOWERING ,N
1,AB,TUB,36,FLOWERING ,N
1,AB,TUB,78,FLOW_DEV,N
1,AB,TUB,39,FLOW_DEV,N
1,AB,TUB,76,FLOW_DEV,N
1,AB,TUB,59,FLOW_DEV,N
1,AN,INC,80,FLOW_DEV,N
1,AN,INC,43,VEG,N
1,AN,INC,58,VEG,N
1,AN,INC,53,VEG,N
1,AN,INC,48,FLOW_DEV,N
1,AN,SYR,91,FLOWERING,N
1,AN,SYR,41,VEG,N
1,AN,SYR,88,FLOW_DEV,N
1,AN,SYR,42,VEG,N
1,AN,SYR,77,FLOWERING,N
1,AN,TUB,42,FLOWERING,N
1,AN,TUB,48,FLOWERING,N
1,AN,TUB,52,FLOWERING,N
1,AN,TUB,46,FLOWERING,N
1,AN,TUB,41,FLOWERING,N
1,AW,INC,50,VEG,N
1,AW,INC,40,VEG,N
1,AW,INC,27,VEG,N
1,AW,INC,51,VEG,N
1,AW,INC,71,VEG,N
1,AW,SYR,65,VEG,N
1,AW,SYR,82,FLOW_DEV,N
1,AW,SYR,120,FLOW_DEV,N
1,AW,SYR,106,FLOW_DEV,N
1,AW,SYR,85,FLOWERING ,N
1,AW,TUB,39,FLOWERING ,N
1,AW,TUB,29,FLOWERING ,N
1,AW,TUB,40,FLOWERING ,N
1,AW,TUB,36,FLOW_DEV,N
1,AW,TUB,22,VEG,N
1,EB,INC,65,VEG,N
1,EB,SYR,56,VEG,N
1,EB,SYR,34,VEG,N
1,EB,SYR,54,VEG,N
1,EB,SYR,61,VEG,N
1,EB,SYR,74,VEG,N
1,EB,TUB,39,FLOW_DEV,N
1,EB,TUB,56,FLOW_DEV,N
1,EB,TUB,41,FLOW_DEV,N
1,EB,TUB,37,FLOW_DEV,N
1,EB,TUB,37,FLOWERING ,N
1,HS,INC,42,VEG,N
1,HS,SYR,122,FLOWERING,N
1,HS,SYR,146,FLOWERING,N
1,HS,SYR,133,FLOWERING,I
1,HS,SYR,85,FLOW_DEV,N
1,HS,SYR,123,FLOWERING,N
1,HS,TUB,30,FLOW_DEV,N
1,HS,TUB,17,VEG,N
1,HS,TUB,35,FLOWERING,N
1,HS,TUB,36,FLOWERING,N
1,HS,TUB,35,FLOWERING,N
1,JY,INC,92,FLOWERING,N
1,JY,INC,77,VEG,N
1,JY,INC,115,FLOWERING,N
1,JY,INC,112,FLOWERING,N
1,JY,INC,90,FLOW_DEV,N
1,JY,SYR,122,FLOWERING,N
1,JY,SYR,120,FLOWERING,N
1,JY,SYR,119,FLOWERING,N
1,JY,SYR,135,FLOW_DEV,I
1,JY,SYR,114,FLOWERING,N
1,JY,TUB,28,FLOWERING,N
1,JY,TUB,36,FLOWERING,N
1,JY,TUB,40,FLOWERING,N
1,JY,TUB,48,FLOW_DEV,N
1,JY,TUB,35,FLOWERING,N
1,LP,INC,88,FLOW_DEV,N
1,LP,INC,89,FLOW_DEV,N
1,LP,INC,77,FLOW_DEV,N
1,LP,INC,89,FLOW_DEV,N
1,LP,INC,84,FLOW_DEV,N
1,LP,SYR,31,VEG,N
1,LP,SYR,40,VEG,N
1,LP,SYR,78,VEG,N
1,LP,SYR,98,FLOWERING,N
1,LP,SYR,82,FLOW_DEV,N
1,LP,TUB,9,VEG,N
1,SH,INC,17,VEG,N
1,SH,INC,18,VEG,N
1,SH,INC,34,VEG,N
1,SH,INC,20,VEG,N
1,SH,INC,25,VEG,N
1,SH,SYR,25,VEG,N
1,SH,SYR,12,VEG,N
1,SH,SYR,15,VEG,N
1,SH,SYR,13,VEG,N
1,SH,SYR,17,VEG,N
1,SH,TUB,11,VEG,N
1,SH,TUB,11,VEG,N
1,SH,TUB,21,VEG,N
1,SH,TUB,11,VEG,N
1,SH,TUB,18,VEG,N
1,ST,INC,81,VEG,N
1,ST,INC,58,VEG,N
1,ST,INC,48,VEG,N
1,ST,INC,50,VEG,N
1,ST,INC,40,VEG,N
1,ST,SYR,136,FLOW_DEV,N
1,ST,SYR,116,FLOW_DEV,N
1,ST,SYR,80,FLOW_DEV,N
1,ST,SYR,120,FLOW_DEV,N
1,ST,SYR,123,FLOWERING,N
1,ST,TUB,27,VEG,N
1,ST,TUB,28,VEG,N
1,ST,TUB,47,VEG,N
1,ST,TUB,49,VEG,N
1,ST,TUB,50,FLOW_DEV,N
2,AB,INC,151,FLOW_DEV,N
2,AB,INC,120,FLOW_DEV,N
2,AB,INC,83,VEG,N
2,AB,INC,136,VEG,N
2,AB,INC,125,VEG,N
2,AB,SYR,70,FLOWERING,N
2,AB,SYR,100,FLOWERING,N
2,AB,SYR,111,FLOWERING,N
2,AB,SYR,113,FLOWERING,N
2,AB,SYR,152,FLOWERING,N
2,AB,TUB,37,FLOWERING,N
2,AB,TUB,55,FLOWERING,N
2,AB,TUB,61,FLOWERING,N
2,AB,TUB,59,FLOWERING,N
2,AB,TUB,61,FLOWERING,N
2,AN,INC,60,FLOW_DEV,N
2,AN,INC,72,FLOW_DEV,N
2,AN,INC,52,VEG,N
2,AN,INC,68,FLOW_DEV,N
2,AN,INC,51,VEG,N
2,AN,SYR,98,FLOW_DEV,N
2,AN,SYR,59,FLOW_DEV,N
2,AN,SYR,73,FLOW_DEV,N
2,AN,SYR,51,FLOW_DEV,N
2,AN,SYR,93,FLOW_DEV,N
2,AN,TUB,68,FLOW_DEV,N
2,AN,TUB,70,FLOW_DEV,N
2,AN,TUB,68,FLOW_DEV,N
2,AN,TUB,35,FLOWERING,N
2,AN,TUB,42,FLOWERING,N
2,AW,INC,54,VEG,N
2,AW,INC,51,VEG,N
2,AW,INC,35,VEG,N
2,AW,INC,29,VEG,N
2,AW,INC,71,VEG,N
2,AW,SYR,108,FLOWERING,N
2,AW,SYR,80,FLOWERING,N
2,AW,SYR,50,FLOW_DEV,N
2,AW,SYR,85,FLOW_DEV,N
2,AW,SYR,105,FLOW_DEV,N
2,AW,TUB,37,FLOWERING,N
2,AW,TUB,32,FLOWERING,N
2,AW,TUB,34,FLOWERING,N
2,AW,TUB,44,FLOWERING,N
2,AW,TUB,40,FLOWERING,N
2,EB,INC,78,FLOW_DEV,N
2,EB,INC,73,VEG,N
2,EB,SYR,20,VEG,N
2,EB,SYR,19,VEG,N
2,EB,SYR,35,VEG,N
2,EB,SYR,15,VEG,N
2,EB,SYR,60,VEG,N
2,EB,TUB,56,FLOWERING,N
2,EB,TUB,26,FLOW_DEV,N
2,EB,TUB,37,FLOWERING,N
2,EB,TUB,36,FLOWERING,N
2,EB,TUB,41,FLOWERING,N
2,HS,INC,44,VEG,N
2,HS,SYR,138,FLOWERING,N
2,HS,SYR,85,FLOWERING,N
2,HS,SYR,88,FLOWERING,N
2,HS,SYR,91,FLOW_DEV,N
2,HS,SYR,53,FLOWERING,N
2,HS,TUB,24,FLOWERING,N
