WEEK,LOCATION,SPECIES,HEIGHT,PHENOLOGY,PERCENT_LAWN_CODE,FLOW_PLANTS_CODE,AG_VS_SUB_CODE,EGG_TOT,LARV_TOT,PRED_TOT,API_MEL,UNK_FLY_LARV,GRYLLIDAE,UNK_MIRID,PRO_QUA,LB_EGG,SYR_LARV,CANTHARIDAE,SYR_ADULT,OPILIONES,TROMBIDIIDAE,ORI_INS_NYM,ANDRENIDAE ,GRYLLIDAE_SUM,PRED_MIRID,TAP_SES,UNK_ORANGE_MITE,MON_MIN,LAB_CLI_NYM,LAMPYRIDAE,APH_FAB,SALTICIDAE,ARANEIDAE,ORI_INS,CHRYSOPIDAE_LARVAE,THRIP_PRED,THYSANOPTERA,CAM_PEN,UNK_BEETLE,MYZ_PER,SOL_MOL,THOMISIDAE,NABIDAE,DERMAPTERA,THRIP_ORANGE,UNK_ANT,DOLICHOPODIDAE,UNK_CATERPILLAR,ONC_FAS,SB_EGG,HAR_AXY,LYG_KAL,TET_IMM,FOR_SUB,TET_TET,UNK_FLY,LINYPHIIDAE,FOR_PAL,CICADELLIDAE,SM_PARA,SPIDER_TOT,FOR_TOT,EUC_EGL_EARLY,CRE_CER,CRE_TOT,MWB_NYM,CHRYSOPIDAE_EGG,LAS_NEO,TET_URT,LAS_TOT,APH_ASC,ANT_TOT,MYZ_ASC,APH_NER,APH_TOT
1,AB,TUBEROSA,76,FLOW_DEV,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AB,TUBEROSA,61,FLOWERING,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,AB,INCARNATA,151,FLOW_DEV,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,SYRIACA,109,FRUIT_DEV,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,TUBEROSA,58,FRUIT_DEV,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AB,INCARNATA,100,FLOW_DEV,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AB,TUBEROSA,44,POST_FLOW,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,AB,INCARNATA,101,VEG,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,AB,TUBEROSA,51,FRUIT_DEV,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,AB,INCARNATA,117,FRUIT_DEV,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
