WEEK,NUM_FLOW_PLANTS,SPECIES,EGG_TOT,LARV_TOT,ANT_TOT,APH_TOT,PREDATOR_TOT
5,113,1,0,0,0,0,0
5,113,1,0,0,0,0,0
5,40,1,2,0,0,0,1
5,40,1,0,0,0,0,0
5,40,1,0,0,1,0,1
5,30,1,1,0,0,0,1
5,20,1,0,0,0,0,0
5,20,1,0,0,0,0,0
5,80,1,0,0,1,1,0
5,80,1,0,0,2,0,0
5,40,2,1,1,3,5,3
5,35,3,0,2,0,0,1
5,80,3,0,0,0,0,0
5,80,3,0,0,0,0,0
5,80,3,0,0,0,0,0
5,80,3,0,0,0,0,0
5,113,1,0,0,0,0,0
5,113,1,0,0,2,0,2
5,113,1,1,0,2,0,2
5,40,1,2,1,0,0,2
5,30,1,0,0,0,0,0
5,80,1,0,0,0,0,1
5,20,2,1,3,0,5,0
5,20,2,0,5,0,2,0
5,80,2,0,0,1,10,2
5,40,3,0,0,0,0,0
5,30,3,0,0,0,0,1
5,30,3,0,0,0,0,0
5,30,3,0,0,0,0,0
5,35,3,0,0,0,0,0
5,35,3,0,0,0,0,1
5,80,1,0,0,0,0,0
5,80,1,0,0,0,0,0
5,119,1,0,0,1,10,4
5,119,1,0,0,0,11,4
5,119,1,0,0,0,0,0
5,119,1,1,0,0,0,0
5,20,1,1,0,0,0,0
5,20,1,2,0,0,0,0
5,80,2,0,0,0,18,0
5,80,2,1,0,8,7,0
5,80,2,1,0,0,8,0
5,113,2,0,0,2,3,2
5,113,2,0,0,0,3,0
5,113,2,0,0,0,11,0
5,113,2,0,0,12,16,4
5,113,2,0,0,4,19,2
5,40,2,3,0,4,9,4
5,40,2,0,0,1,7,3
5,40,2,2,0,1,13,1
5,35,2,1,0,0,22,1
5,35,2,0,0,0,11,1
5,35,2,2,0,0,5,2
5,35,2,0,0,2,4,0
5,35,2,0,0,4,13,2
5,119,2,0,0,20,1170,18
5,119,2,0,0,0,3510,0
5,119,2,0,0,0,140,0
5,119,2,1,0,1,325,5
5,119,2,0,0,0,450,0
5,15,2,1,0,0,8,0
5,15,2,5,0,0,80,1
5,15,2,1,0,0,2,0
5,80,3,0,0,0,0,0
5,80,3,0,0,0,0,0
5,80,3,0,1,0,0,0
5,113,3,0,0,0,0,0
5,113,3,0,0,0,0,0
5,113,3,0,0,0,0,0
5,40,3,0,0,0,0,0
5,35,3,0,0,0,0,2
5,119,3,0,0,0,0,0
5,15,3,0,0,0,0,0
5,15,3,0,0,0,0,0
5,15,3,0,0,0,0,0
5,15,3,0,0,0,0,0
5,80,1,0,0,0,0,0
5,80,1,0,0,0,0,1
5,119,1,0,0,0,3,1
5,20,1,3,0,0,0,0
5,20,1,6,0,0,0,1
5,20,1,1,0,0,0,0
5,80,1,0,0,0,0,3
5,80,2,0,0,4,0,0
5,40,2,3,0,11,4,1
5,20,2,1,0,0,0,0
5,80,2,0,0,1,4,2
5,80,2,0,0,1,0,0
5,80,2,0,0,6,2,1
5,80,3,0,0,0,0,0
5,80,3,0,0,1,0,1
5,113,3,0,0,0,0,0
5,40,3,0,0,0,0,0
5,40,3,0,0,0,0,0
5,30,3,0,0,3,0,0
5,30,3,0,0,0,0,1
5,35,3,0,0,0,0,0
5,119,3,0,0,0,0,0
5,119,3,0,0,0,0,0
5,119,3,0,0,0,0,1
5,80,3,0,0,0,0,0
5,15,3,0,0,0,0,0
5,80,1,0,0,0,0,0
5,40,1,0,0,0,0,0
5,35,1,0,0,0,0,0
5,20,1,0,0,0,0,1
5,20,1,1,1,0,1,1
5,20,1,3,0,0,0,1
5,80,1,0,0,1,0,0
5,80,2,2,0,2,6,1
5,30,2,1,0,0,0,2
5,30,2,0,0,0,7,0
5,30,2,0,0,0,9,0
5,30,2,0,0,0,5,0
5,30,2,0,0,0,4,1
5,20,2,3,0,3,9,0
5,20,2,2,0,0,7,0
5,20,2,1,1,6,12,1
5,20,2,0,0,0,7,18
5,20,2,1,0,3,15,4
5,20,2,1,1,2,4,2
5,20,2,0,1,0,2,0
5,80,2,0,0,3,4,0
5,15,2,0,2,2,255,3
5,15,2,0,0,1,17,2
5,113,3,0,0,0,0,0
5,40,3,0,0,0,0,0
5,119,3,0,0,0,0,0
5,20,3,1,0,0,0,2
5,20,3,0,0,0,0,1
5,20,3,0,0,0,0,0
5,20,3,0,0,0,0,0
5,20,3,0,0,0,0,0
5,20,3,0,0,0,0,0
6,80,1,0,0,0,0,2
6,40,1,2,1,0,0,2
6,40,1,8,0,0,0,2
6,40,1,1,1,0,0,1
6,20,1,6,0,0,0,3
6,20,1,3,0,0,0,0
6,30,3,0,0,0,0,0
6,30,3,0,0,0,0,0
6,35,3,0,0,0,0,1
6,35,3,1,0,0,0,0
6,20,3,0,0,0,0,0
6,80,3,0,0,0,0,0
6,80,3,0,0,0,0,0
6,80,3,0,0,0,0,0
6,113,1,0,0,0,0,0
6,30,1,10,0,1,2,1
6,30,1,5,1,0,0,0
6,20,1,1,0,0,0,2
6,15,3,0,0,0,0,0
6,80,1,1,0,0,0,0
6,113,1,0,0,0,0,0
6,113,1,0,0,0,0,0
6,119,1,1,0,0,0,0
6,119,1,1,0,0,0,2
6,119,1,0,0,0,0,0
6,80,1,2,0,0,0,1
6,80,1,0,0,0,0,0
6,80,2,0,0,0,0,2
6,80,2,0,0,0,0,0
6,80,2,0,0,0,6,0
6,80,2,0,0,2,8,0
6,80,2,0,0,0,0,0
6,113,2,0,0,11,60,1
6,40,2,2,0,0,0,1
6,40,2,2,0,0,0,2
6,40,2,1,0,0,0,1
6,40,2,1,0,0,0,1
6,35,2,2,0,1,6,2
6,35,2,0,0,0,254,0
6,35,2,2,0,1,11,1
6,35,2,0,0,1,476,2
6,35,2,0,0,0,176,1
6,119,2,0,0,0,1440,1
6,119,2,1,1,2,2170,2
6,119,2,1,0,1,2200,3
6,20,2,2,1,0,35,0
6,80,2,1,0,0,2,2
6,15,2,0,0,0,402,3
6,80,3,0,0,0,0,0
6,80,3,1,0,0,0,0
6,80,3,0,0,0,0,0
6,80,3,0,0,0,0,0
6,113,3,0,0,0,0,0
6,113,3,0,0,0,0,0
6,113,3,0,0,0,0,0
6,30,3,1,0,0,15,0
6,30,3,0,0,0,0,0
6,35,3,0,0,0,0,0
6,35,3,0,0,0,0,0
6,119,3,0,0,0,0,0
6,15,3,0,0,0,0,0
6,15,3,0,0,0,0,0
6,40,3,0,0,0,0,0
6,80,1,1,0,0,0,2
6,80,1,0,0,0,0,1
6,40,1,5,0,0,0,1
6,20,1,1,0,0,0,0
6,20,1,1,0,0,0,3
6,20,1,3,0,0,0,0
6,20,1,1,0,0,0,0
6,20,1,1,0,0,0,0
6,113,2,0,0,0,12,1
6,80,2,0,0,1,49,1
6,80,3,0,0,0,0,0
6,113,3,0,0,0,0,0
6,40,3,0,0,0,0,0
6,40,3,0,0,0,0,0
6,30,3,0,0,0,0,2
6,35,3,0,0,0,0,0
6,119,3,0,0,0,0,0
6,119,3,0,0,0,0,0
6,119,3,0,0,0,0,0
6,119,3,0,0,0,0,0
6,80,3,0,0,0,0,0
6,15,3,0,0,0,0,0
6,15,3,0,0,1,6,0
6,80,1,2,0,0,0,0
6,113,1,0,1,0,1,0
6,113,1,0,0,0,0,0
6,40,1,0,0,0,0,0
6,35,1,0,0,0,0,0
6,119,1,0,1,0,0,0
6,119,1,1,0,0,0,0
6,20,1,1,1,0,0,0
6,20,1,3,0,0,0,0
6,80,1,0,0,0,0,0
6,80,1,0,0,0,0,0
6,80,1,0,0,0,0,0
6,113,2,0,0,1,6,2
6,113,2,0,0,0,0,0
6,113,2,0,0,0,6,0
6,40,2,0,0,0,0,2
6,30,2,1,0,0,8,0
6,30,2,4,0,1,6,2
6,30,2,1,0,0,40,0
6,30,2,9,0,0,4,1
6,30,2,2,0,0,0,1
6,119,2,0,1,0,160,0
6,119,2,1,0,0,520,0
6,20,2,0,0,0,1,0
6,20,2,0,0,0,6,0
6,20,2,4,0,0,29,0
6,20,2,1,0,0,30,0
6,20,2,0,0,0,1,0
6,20,2,3,0,4,41,2
6,20,2,3,0,3,51,1
6,20,2,0,1,0,3,10
